Data;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
01/05/1939;;;;;;;;;;;;;;;;;;;;;;;;;;58,5;53,6;49,1;47,3;47,3;43,7
01/06/1939;41;40,1;42,8;45,5;41;38,3;36,5;35,7;34,9;38,3;47,3;45,5;40,1;36,5;34,9;44,6;37,4;35,7;33,3;32,5;36,5;34,9;32,5;32,5;29,3;28,5;30,1;55,5;80;45,5;
01/07/1939;36,5;34,1;32,5;31,7;30,1;28,5;27,73;28,5;27,73;27,73;27,73;26,19;26,19;27,73;26,96;26,96;26,96;25,42;24,65;23,88;26,19;24,65;26,19;27,73;24,65;23,88;24,65;23,88;27,73;23,88;23,11
01/08/1939;22,34;20,8;20,8;20,16;19,52;18,88;19,52;21,57;19,52;18,88;18,24;18,88;18,24;18,24;18,24;17,6;17,6;16,96;17,6;17,6;30,9;137,2;67,65;39,2;27,73;26,19;23,88;21,57;21,57;21,57;63,5
01/09/1939;518;384,6;218;220,8;194,4;182,7;87,2;67,65;60,5;51,8;47,3;44,6;45,5;44,6;41,9;52,7;73,95;173,6;134,6;159,3;124,2;78;68,7;63,5;93,8;83;71,85;56,5;50,9;48,2;
01/10/1939;47,3;60,5;62,5;53,6;62,5;133,3;90,5;72,9;59,5;50,9;47,3;43,7;41,9;40,1;39,2;35,7;33,3;31,7;30,9;30,1;29,3;30,9;64,5;67,65;43,7;34,1;39,2;34,1;30,1;28,5;30,9
01/11/1939;27,73;38,3;41;41,9;32,5;30,1;35,7;59,5;54,5;101,5;70,8;53,6;50,9;50;44,6;62,5;384,6;564;215,2;160,6;155,4;102,6;75;69,75;72,9;374,4;154,1;94,9;82;71,85;
01/12/1939;65,55;59,5;58,5;59,5;81;86,1;73,95;68,7;65,55;52,7;51,8;240;225;235,5;213,8;104,8;87,2;75;68,7;69,75;73,95;76;73,95;63,5;63,5;76;155,4;93,8;78;68,7;58,5
01/01/1940;54,5;50,9;47,3;62,5;93,8;206,8;247,5;103,7;83;69,75;64,5;59,5;54,5;58,5;59,5;60,5;75;57,5;50;47,3;41,9;41;40,1;44,6;275,8;250,5;191,8;169,7;101,5;82;72,9
01/02/1940;81;79;113;75;68,7;164,5;244,5;101,5;79;71,85;79;104,8;80;87,2;93,8;87,2;151,5;469;197;478;246;150,2;113;86,1;78;75;68,7;64,5;60,5;;
01/03/1940;59,5;65,55;73,95;65,55;57,5;53,6;50,9;164,5;113;96;102,6;84;67,65;66,6;53,6;50;46,4;42,8;41,9;41;38,3;37,4;36,5;35,7;45,5;45,5;44,6;48,2;50,9;49,1;47,3
01/04/1940;40,1;37,4;55,5;54,5;43,7;40,1;37,4;63,5;100,4;87,2;50;44,6;40,1;39,2;56,5;63,5;45,5;38,3;36,5;34,9;32,5;30,9;34,1;32,5;30,1;31,7;32,5;30,9;28,5;28,5;
01/05/1940;30,9;110,6;167,1;77;50,9;50,9;91,6;60,5;48,2;42,8;40,1;37,4;35,7;34,9;39,2;49,1;41;37,4;34,9;33,3;31,7;30,1;28,5;28,5;29,3;30,1;28,5;27,73;26,96;26,19;26,96
01/06/1940;26,19;25,42;24,65;23,88;23,11;22,34;22,34;22,34;21,57;20,8;22,34;25,42;24,65;23,11;25,42;30,1;24,65;22,34;20,8;20,8;21,57;21,57;20,8;20,8;20,16;20,16;20,16;19,52;19,52;20,8;
01/07/1940;22,34;20,8;19,52;18,88;18,24;18,24;18,24;17,6;17,6;18,24;18,24;18,24;18,24;23,11;23,88;21,57;18,24;18,24;18,88;20,16;18,88;17,6;17,6;16,96;16,96;16,96;16,32;15,68;15,68;18,88;26,19
01/08/1940;23,11;23,88;26,19;23,11;20,16;20,16;28,5;23,88;20,8;18,88;17,6;16,96;16,32;15,68;15,68;16,96;121,6;145;57,5;37,4;29,3;31,7;73,95;277,4;190,5;232,5;104,8;73,95;54,5;48,2;42,8
01/09/1940;37,4;33,3;30,9;28,5;26,96;26,96;26,19;25,42;23,88;23,11;45,5;47,3;33,3;26,19;23,11;22,34;21,57;20,16;19,52;19,52;28,5;31,7;26,19;22,34;20,8;28,5;24,65;21,57;20,16;18,88;
01/10/1940;18,88;19,52;39,2;47,3;36,5;130,7;209,6;116,6;174,9;115,4;77;60,5;61,5;51,8;42,8;37,4;53,6;335,3;255;193,1;168,4;500;249;148,9;130,7;108,2;89,4;76;67,65;62,5;57,5
01/11/1940;50,9;48,2;45,5;46,4;46,4;42,8;37,4;35,7;34,1;33,3;34,9;86,1;57,5;48,2;65,55;73,95;49,1;41;36,5;34,1;32,5;30,9;30,1;44,6;47,3;41,9;39,2;43,7;44,6;34,9;
01/12/1940;31,7;29,3;27,73;32,5;36,5;31,7;27,73;25,42;45,5;51,8;38,3;31,7;38,3;50;237;337;263;184;147,6;155,4;261,4;186,6;165,8;187,9;119;105,9;84;69,75;122,9;124,2;80
01/01/1941;65,55;57,5;51,8;48,2;45,5;46,4;61,5;56,5;56,5;60,5;66,6;99,3;66,6;80;125,5;391,6;258,2;280,6;129,4;96;79;69,75;72,9;86,1;72,9;70,8;107;84;61,5;55,5;60,5
01/02/1941;77;64,5;57,5;67,65;76;73,95;61,5;69,75;80;69,75;61,5;60,5;121,6;97,1;125,5;82;98,2;76;75;69,75;79;133,3;92,7;68,7;78;72,9;62,5;73,95;;;
01/03/1941;68,7;72,9;93,8;104,8;148,9;141,1;161,9;102,6;78;69,75;62,5;55,5;53,6;99,3;76;57,5;50;46,4;45,5;44,6;48,2;82;77;70,8;102,6;68,7;57,5;51,8;46,4;85;72,9
01/04/1941;58,5;66,6;53,6;48,2;44,6;40,1;38,3;36,5;35,7;34,9;34,1;33,3;31,7;37,4;37,4;33,3;44,6;81;48,2;39,2;35,7;33,3;33,3;32,5;30,9;30,1;30,1;30,9;33,3;142,4;
01/05/1941;99,3;59,5;50;93,8;152,8;130,7;119;79;68,7;58,5;50,9;46,4;53,6;57,5;303;115,4;81;69,75;61,5;56,5;53,6;50;47,3;44,6;42,8;41,9;41;73,95;63,5;45,5;42,8
01/06/1941;44,6;42,8;40,1;37,4;36,5;34,9;34,1;33,3;33,3;32,5;35,7;83;77;56,5;43,7;41;38,3;37,4;38,3;36,5;45,5;70,8;93,8;72,9;65,55;56,5;48,2;43,7;41;38,3;
01/07/1941;37,4;36,5;35,7;38,3;138,5;69,75;52,7;44,6;41,9;40,1;38,3;36,5;34,9;34,1;33,3;33,3;33,3;32,5;31,7;30,1;28,5;28,5;28,5;28,5;28,5;27,73;206,8;114,2;64,5;49,1;42,8
01/08/1941;42,8;68,7;61,5;55,5;49,1;42,8;39,2;36,5;34,9;33,3;31,7;30,1;29,3;28,5;30,9;57,5;138,5;94,9;63,5;52,7;44,6;41;37,4;34,9;33,3;31,7;30,9;30,1;29,3;28,5;27,73
01/09/1941;28,5;27,73;60,5;65,55;41;34,1;32,5;31,7;29,3;27,73;26,96;26,96;28,5;50,9;37,4;30,9;27,73;26,96;26,19;26,96;103,7;52,7;39,2;37,4;35,7;31,7;30,1;28,5;26,96;25,42;
01/10/1941;24,65;23,88;23,88;23,11;23,88;26,96;31,7;47,3;68,7;45,5;47,3;47,3;40,1;35,7;32,5;31,7;35,7;30,9;28,5;26,19;25,42;32,5;32,5;26,19;23,88;22,34;22,34;21,57;20,8;20,16;20,8
01/11/1941;24,65;23,88;22,34;26,96;75;75;45,5;55,5;54,5;41,9;36,5;98,2;176,2;79;53,6;63,5;320;107;71,85;58,5;49,1;61,5;66,6;44,6;39,2;35,7;34,9;33,3;31,7;30,1;
01/12/1941;51,8;63,5;42,8;37,4;34,9;33,3;29,3;25,42;27,73;34,9;30,9;26,19;25,42;30,9;55,5;45,5;31,7;26,96;25,42;27,73;30,9;27,73;23,88;23,88;23,88;31,7;35,7;34,9;47,3;43,7;111,8
