//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 84520010
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
84520010;2;01/05/1986;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,9;26,2;53,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;
84520010;2;01/09/1986;;1;1;48,48;2,46;10,623;20;13;1;1;1;;0;3,58;3,58;3,26;3,42;3,9;3,74;3,42;3,1;2,94;2,78;2,62;2,62;2,46;2,46;2,62;3,58;7,32;9;34,88;48,48;24,75;14,84;8,44;7,6;11,8;37,64;31,24;14,06;10,4;8,16;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
84520010;2;01/10/1986;;1;1;114,2;5,05;20,8313;10;6;1;1;1;;0;7,04;6,48;5,97;5,51;5,28;5,05;10,4;12,15;103,15;114,2;68,1;43,48;29,7;22,5;18,98;14,84;13,28;17,26;14,06;11,45;17,26;12,5;10,05;9;8,44;8,16;7,88;7,6;7,88;15,23;12,89;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
84520010;2;01/11/1986;;1;1;69,7;9;20,249;5;22;1;1;1;;0;16,83;30,72;17,69;12,15;69,7;69,7;31,24;23,4;18,98;22,5;28,7;18,12;15,62;13,67;12,15;11,1;10,4;9,7;10,4;14,84;10,75;9;9;9;9;11,1;14,06;26,2;15,23;36,52;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
84520010;2;01/12/1986;;1;1;60,4;9,7;21,511;30;17;1;1;1;;0;25,2;16,83;16,01;16,01;12,5;11,45;14,84;21,6;13,67;11,8;11,1;10,05;20,27;20,27;12,89;10,75;9,7;19,84;18,12;12,15;15,23;12,5;23,4;34,88;25,7;26,7;44,1;44,72;35,4;60,4;38,76;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
84520010;2;01/01/1987;;1;1;77,7;13,28;34,9945;13;6;1;1;1;;0;28,2;27,2;20,27;16,83;14,84;13,28;14,84;20,7;20,7;13,67;21,6;15,62;77,7;72,9;68,1;59,04;75,3;54,96;76,1;55,64;41,62;34,88;31,24;30,2;38,76;30,2;25,7;24,75;21,6;19,84;18,55;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
84520010;2;01/02/1987;;1;1;108,6;17,26;44,5629;17;1;1;1;1;;0;17,26;23,4;21,6;19,41;40,44;27,2;22,95;31,24;38,2;24,75;23,85;22,95;52,32;49,12;85,7;104,69;108,6;102,38;69,7;73,7;53,6;44,1;38,76;35,96;32,28;29,7;27,7;26,2;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
84520010;2;01/03/1987;;1;1;63,16;11,8;20,061;26;25;1;1;1;;0;25,2;25,2;24,3;23,85;22,5;28,7;25,7;23,85;24,3;27,7;21,6;19,84;18,12;16,4;14,06;14,84;14,06;14,06;13,28;12,5;12,5;16,4;13,28;12,5;11,8;63,16;21,15;17,69;15,23;14,45;13,67;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
84520010;2;01/04/1987;;1;1;70,5;11,8;19,5417;13;8;1;1;1;;0;15,23;22,95;16,83;15,23;13,67;13,28;12,5;11,8;12,15;18,12;16,01;49,76;70,5;38,76;25,2;24,3;19,84;17,69;16,4;15,62;14,84;14,06;14,45;18,55;14,45;13,28;13,28;12,5;12,5;12,5;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
84520010;2;01/05/1987;;1;1;;;;;;0;0;0;;0;12,5;11,8;11,1;11,45;11,1;11,45;26,2;66,61;26,7;18,98;16,01;15,23;15,62;230,9;83,3;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;
84520010;2;01/06/1987;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;16,01;14,84;14,06;14,06;13,67;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;;
