area_km,nome,nome_rio,bacia,id_macro,comite,Centro_X,Centro_Y,Q98,Estimado
397.027629,Bacia do Rio Biguaçu,Rio Biguaçu,Biguaçu,3,,718879.537,6958307.30,,
15487.81687,Bacia do Rio Canoas,Rio Canoas,Canoas,4,Comitê de Gerenciamento da BH do Rio Canoas - Comitê Canoas,551724.865,6956491.31,54.30028596,
1633.312394,Bacia do Rio Canoinhas,Rio Canoinhas,Canoinhas,5,Comitê de Gerenciamento da BH do Rio Canoinhas - Comitê Canoinhas,566517.006,7075826.52,,
1951.509464,Bacia do Rio Irani,Rio Irani,Irani,9,,375364.312,7012911.78,,
551.9816811,Bacia do Rio da Madre,Rio da Madre,Madre,15,,726926.194,6911814.96,,
1965.957606,Bacia do Rio Cubatão (Norte),Rio Cubatão (Norte),Cubatão (Norte),7,Comitê de Gerenciamento da BH do Rio Cubatão do Norte - Comitê Cubatão do Norte,719725.612,7103804.89,,
3651.700918,Bacia do Rio das Antas,Rio das Antas,Antas,2,Comitê de Gerenciamento da BH do Rio das Antas e suas BH contíguas - Comitê Rio das Antas,269951.908,7042494.44,,
1048.904553,Bacia do Rio Cubatão (Sul),Rio Cubatão (Sul),Cubatão (Sul),8,Comitê de Gerenciamento da BH do Rio Cubatão - Comitê Cubatão,715327.461,6935240.03,,
15111.65343,Bacia do Rio Itajaí,Rio Itajaí-Açu,Itajaí,10,Comitê de Gerenciamento da BH do Rio Itajaí - Comitê Itajaí,644064.593,7008769.97,,
3153.464039,Bacia do Rio Itapocu,Rio Itapocu,Itapocu,11,Comitê de Gerenciamento da BH do Rio Itapocu - Comitê Itapocu,695921.842,7072522.42,,
4997.675806,Bacia do Rio Timbó,Rio Timbó,Timbó,12,Comitê de Gerenciamento da BH do Rio Timbó - Comitê Timbó,521652.745,7071887.47,,
2466.305087,Bacia do Rio Jacutinga,Rio Jacutinga,Jacutinga,13,Comitê de Gerenciamento da BH do Rio Jacutinga e suas BH contíguas - Comitê Jacutinga,401120.626,6995694.96,,
1249.74394,Bacia do Rio Mampituba,Rio Mampituba,Mampituba,14,,621608.293,6776227.80,,
4272.827838,Bacia do Rio Negro,Rio Negro,Negro,16,,623852.509,7091971.34,,
5438.565827,Bacia do Rio do Peixe,Rio do Peixe,Peixe,17,Comitê de Gerenciamento da BH do Rio do Peixe - Comitê Rio do Peixe,467606.963,7007410.17,13.06956275,Qesp
2183.217282,Bacia do Rio Peperi-Guaçu,Rio Peperi-Guaçu,Peperi-Guaçu,18,,239741.172,7038978.14,,
7269.489581,Bacia do Rio Pelotas,Rio Pelotas,Pelotas,19,,574822.968,6883680.04,24.69564103,
2851.109726,Bacia do Rio Tijucas,Rio Tijucas,Tijucas,20,Comitê de Gerenciamento da BH do Rio Tijucas - Comitê Tijucas,702365.060,6967219.76,,
4733.875153,Bacia do Rio Tubarão,Rio Tubarão,Tubarão,21,Comitê de Gerenciamento da BH do Rio Tubarão e Complexo Lagunar - Comitê Tubarão,681891.415,6875979.29,,
1211.096777,Bacia do Rio D'Una,Rio D'Una,D'Una,22,Comitê de Gerenciamento da BH do Rio Tubarão e Complexo Lagunar - Comitê Tubarão,715811.503,6875637.33,,
9337.917046,Bacia do Rio Chapecó,Rio Chapecó,Chapecó,6,,352570.389,7041417.62,,
2955.945263,Bacia do Rio Araranguá,Rio Araranguá,Araranguá,1,Comitê de Gerenciamento da BH do Rio Araranguá - Comitê Araranguá,635192.640,6814807.88,,
219.7403073,Bacia do Rio Camboriú,Rio Camboriú,Camboriú,24,Comitê de Gerenciamento da BH do Rio Camboriú - Comitê Camboriú,729249.077,7004221.24,,
675.7518029,Bacia do Rio Urussanga,Rio Urussanga,Urussanga,23,Comitê de Gerenciamento da BH do Rio Urussanga - Comitê Urussanga,670563.231,6831157.59,,
425.0088579,Florianópolis,Florianópolis,Florianópolis,25,Florianópolis,748250.217,6946208.20,,
