"","meanlog","sdlog"
"E72870000",-4.32758244557669,1.09885633917398
"E72849000",-4.21843715312878,1.03530578507424
"E72810000",-4.18825527885321,0.983869859757814
"E72715000",-4.23105280163743,1.10114582556572
"E72680000",-4.01293064282629,0.962390807376162
"E72630000",-4.07109673270325,0.918429674666722
"E72430000",-4.10436696034389,0.98346273594768
"E70500000",-4.01171111994073,1.09611932332955
"E70300000",-4.20452187878321,1.10367215057997
"E70200000",-4.03875026857535,0.950065558124931
"E70100000",-3.99266328193342,0.964942765832865
"E86100000",-4.08996848600969,0.979543605092835
"E86160000",-4.365871457129,1.16427281248623
"E71550000",-3.99023034516216,0.87103386194283
"E71498000",-3.95009603620855,0.751660423899779
"E71383000",-4.02633296349467,0.87947798436468
"E71350001",-3.83200630779277,0.826785452064076
"E71300000",-3.78597285619963,0.769617364739858
"E71250000",-4.06114358622719,0.928310080842189
"E71200000",-3.65237438391455,0.746606763968387
"E83675000",-3.6289445759981,0.630913203198132
"E83345000",-4.49987849735315,1.02450452586515
"E83029900",-4.08981884983051,0.952044423624648
"E83660000",-4.16662329095323,0.944814520297256
"E83800002",-3.92835357747186,0.759680474067009
"E83892998",-4.19770077079871,0.667518237207337
"E83900000",-4.01686103883921,0.591772454046836
"E83440000",-4.36353374459098,0.910256277646405
"E83690000",-3.99148256347007,0.789047012432601
"E83250000",-4.19452942423917,0.873791892079607
"E83880000",-3.20527998370458,0.794556127158892
"E83300200",-4.02845090830345,0.817264308249249
"E83892990",-4.30708176237174,1.01180056241072
"E83105000",-4.3513888808317,0.877641493753677
"E83050000",-4.09371072572411,1.18477935730586
"E83677000",-3.95080253158709,0.709283127442803
"E83069900",-4.27713534795537,0.94829762431011
"E83520000",-4.26835114436339,0.846002644049448
"E74320000",-4.25750412155598,1.22808367750321
"E74295000",-4.23706810995678,1.2696554249125
"E74100000",-3.92440058827846,0.821205276484747
"E74270000",-3.95010721246189,1.01807463275771
"E84820000",-4.07990615021654,1.27249496138009
"E84853000",-4.22487254724664,1.46971618443422
"E84800000",-3.33647112585703,1.04112073558792
"E84949000",-4.66883611526125,1.91702250040226
"E65925000",-3.7496045468277,0.861113653144503
"E73900000",-4.06239973336531,1.16191887808268
"E73770000",-3.80043536513775,0.856410106712374
"E73765000",-4.55014011179013,1.41006870230759
"E73820000",-4.44900562423384,1.36245600552713
"E73780000",-4.55554190931713,1.43500343574081
"E73690001",-3.75740807955008,0.777959346593682
"E73960000",-3.98184999124669,0.942690593030626
"E73600000",-3.6274976561322,0.79672162968927
"E73350000",-3.96732845014884,1.04136256322628
"E73300000",-4.24864745442057,1.16935741676958
"E73330000",-3.94815134716993,0.977018586733598
"E82320000",-3.40069266185982,0.773938439921176
"E82350000",-3.76663903356136,0.825649985588036
"E82370000",-3.51387991225278,0.8940207352701
"E82549000",-3.34328017735119,0.741320809333984
"E82770000",-3.36086761023349,1.04983760827923
"E65094500",-4.02850522202736,0.843373494687112
"E65095000",-4.11932735884126,0.759454651586734
"E65135000",-4.13008631388823,0.722312308840138
"E74370000",-3.74228595156163,0.781264596480853
"E74470000",-3.94234036864105,0.8609165993107
"E84071000",-3.84830124997137,0.623639805766653
"E84095000",-4.03860900985541,0.761585798800973
"E84095500",-3.84989466495403,0.636719149533209
"E84559800",-4.12645152389801,0.862215283398011
"E84520000",-3.61688166534049,0.515621569616937
"E84249998",-4.09741891639507,0.958577851934233
"E84300000",-3.91465838785019,0.864845705012896
"E84580000",-3.91516014001699,0.66601489768619
"E84551000",-3.58232235502431,0.856865441814331
"E84520010",-3.65187924881998,0.611611936670334
"E84560000",-3.82678663373481,0.758587733386908
"E84598002",-3.76493485746647,0.50922972062696
"E65180000",-4.26876143762422,0.98841187794736
"E82270050",-3.13868220184792,0.762473680457436
"E84100000",-3.68402917409323,0.595249615030422
"E84970000",-3.68154573118694,1.19665800808536
