"","meanlog","sdlog"
"E72870000",-4.60798385057392,1.15097988270959
"E72849000",-4.44351703594299,1.02594193859952
"E72810000",-4.40911187697917,0.976858882236803
"E72715000",-4.43680693739426,1.06926332238723
"E72680000",-4.34049706235014,1.02605178448691
"E72630000",-4.44738276115073,0.98773135917104
"E72430000",-4.53425102100184,1.06948241515293
"E70500000",-4.29099675250966,1.12521114776051
"E70300000",-4.51766705661086,1.20865547316445
"E70200000",-4.24696671924793,0.934931293217097
"E70100000",-4.22131430894741,0.956848657380229
"E86100000",-4.31642739904562,0.98760652386952
"E86160000",-4.64094092431107,1.13902741241814
"E71550000",-4.25499271970453,0.860158382207355
"E71498000",-4.16662733021979,0.725525072717784
"E71383000",-4.28327621476334,0.873481714306456
"E71350001",-4.02821270219044,0.810437711685333
"E71300000",-3.98128361745899,0.751459346316424
"E71250000",-4.24086237829008,0.871269327877297
"E71200000",-3.8096076669304,0.734524764197833
"E83675000",-3.60399016790962,0.532609351255696
"E83345000",-4.73034932278863,0.956667041659086
"E83029900",-4.20852191830599,0.872010692578664
"E83660000",-4.27852106869499,0.88729916831435
"E83800002",-4.06393867088999,0.692228467714201
"E83892998",-4.31929393222312,0.602801114599429
"E83900000",-4.12037020991306,0.487808085162934
"E83440000",-4.61056483427054,0.865730132726622
"E83690000",-4.15138142240908,0.713378369834814
"E83250000",-4.47409715534595,0.816669011653719
"E83880000",-3.35213602343272,0.928588304331334
"E83300200",-4.21304949971169,0.750237374503877
"E83892990",-4.56491247353696,1.00712089089131
"E83105000",-4.57138746565251,0.788016492200408
"E83050000",-4.24158284023562,1.16066549372657
"E83677000",-3.9832616409138,0.617273351185704
"E83069900",-7.63383322778156,0.883781063906693
"E83520000",-4.46609779913726,0.777069039028131
"E65180000",-4.49739668363778,0.998532871218166
