Data,E72870000,E72849000,E72810000,E72715000,E72680000,E72630000,E72430000
1985-01-01,"0,0071095238","0,0143819198","0,0166458607","0,0170461765","0,0153386448","0,0096768214","0,0124516543"
1985-01-02,"0,0088095238","0,0106072664","0,0117366766","0,0133725553","0,0129695902","0,0081591214","0,0103998086"
1985-01-03,"0,0074238095","0,0080256805","0,0089948905","0,0111759071","0,0112033907","0,00732735","0,0095277037"
1985-01-04,"0,008452381","0,0073358433","0,007973597","0,0104386998","0,0095538115","0,0067213179","0,0083725185"
1985-01-05,"0,0064809524","0,0069022177","0,007973597","0,0102977396","0,0080228142","0,0063260714","0,0077984753"
1985-01-06,"0,0050619048","0,0057894612","0,0069975522","0,0094678422","0,0064449235","0,0063260714","0,0075124074"
1985-01-07,"0,0074238095","0,007402914","0,0084786866","0,0107492507","0,0050234426","0,0063260714","0,007227"
1985-01-08,"0,008452381","0,0636136515","0,0777132836","0,0629876788","0,004028612","0,0071236143","0,0089489691"
1985-01-09,"0,0080952381","0,0216620027","0,0258640348","0,0240041402","0,0045850683","0,0071236143","0,0083725185"
1985-01-10,"0,0053380952","0,0136597227","0,0166458607","0,0168003527","0,0051735383","0,0063260714","0,007227"
1985-01-11,"0,0053380952","0,0097333305","0,0117366766","0,0130407875","0,007302459","0,0057468","0,0066582778"
1985-01-12,"0,0053380952","0,0074951009","0,0089948905","0,0109352494","0,0074797022","0,0051844214","0,0060925056"
1985-01-13,"0,0025952381","0,0061508455","0,007973597","0,0099855824","0,0067821803","0,0055574286","0,0058108"
1985-01-14,"0,0056142857","0,0066878104","0,007973597","0,0101740746","0,0061153852","0,0051844214","0,0055299259"
1985-01-15,"0,0067952381","0,0052990347","0,0060684229","0,0088314946","0,0054796475","0,0051844214","0,0063750062"
1985-01-16,"0,0074238095","0,006680255","0,0069975522","0,009911221","0,0048753279","0,0161919214","0,0106915247"
1985-01-17,"0,0067952381","0,0054489786","0,0060684229","0,0091106025","0,0054796475","0,01150235","0,0124516543"
1985-01-18,"0,0067952381","0,0047863469","0,0051880995","0,0082971361","0,0099551694","0,0083711821","0,0103998086"
1985-01-19,"0,0067952381","0,0047073651","0,0051880995","0,0082352889","0,0083943333","0,0069215964","0,0086604506"
1985-01-20,"0,0038333333","0,0034123173","0,0043587632","0,0073659154","0,006953694","0,0059380464","0,007227"
1985-01-21,"0,0058904762","0,003763976","0,0043587632","0,0074699546","0,0056356503","0,0053699607","0,0060925056"
1985-01-22,"0,0064809524","0,0031913583","0,0035829373","0,0069122355","0,0045850683","0,0050008393","0,0058108"
1985-01-23,"0,0061666667","0,0031213473","0,0035829373","0,006882948","0,0043028115","0,0048192429","0,0055299259"
1985-01-24,"0,0061666667","0,0031333268","0,0035829373","0,0068759281","0,0043028115","0,0048192429","0,0052499204"
1985-01-25,"0,0058904762","0,0030593551","0,0035829373","0,006845576","0,004028612","0,004462125","0,0049708235"
1985-01-26,"0,0058904762","0,0030265726","0,0035829373","0,0068403949","0,0037625191","0,004113325","0,0049708235"
1985-01-27,"0,0035952381","0,0023603576","0,0032160055","0,0064168886","0,004028612","0,0048192429","0,0046926809"
1985-01-28,"0,0058904762","0,0033049939","0,0035829373","0,0068810025","0,0056356503","0,0071236143","0,0046926809"
1985-01-29,"0,0064809524","0,0039238009","0,0043587632","0,007464929","0,0053256066","0,0051844214","0,0044155407"
1985-01-30,"0,0064809524","0,0038664646","0,0043587632","0,0074636956","0,0044429372","0,0048192429","0,0044155407"
1985-01-31,"0,0064809524","0,0045258705","0,0051880995","0,0080801612","0,0043028115","0,004462125","0,0041394586"
1985-02-01,"0,0061666667","0,0037571183","0,0043587632","0,0074248495","0,004028612","0,004113325","0,0041394586"
1985-02-02,"0,0058904762","0,0043890556","0,0051880995","0,0080604283","0,0045850683","0,004462125","0,0049708235"
1985-02-03,"0,0029952381","0,0062239625","0,007973597","0,0101500001","0,005793612","0,0081591214","0,0089489691"
1985-02-04,"0,0061666667","0,0130519956","0,0153610647","0,0160384045","0,0097535683","0,0105778536","0,0112764012"
1985-02-05,"0,0061666667","0,0179677902","0,0214281891","0,0206545213","0,0105710328","0,0105778536","0,0124516543"
1985-02-06,"0,0064809524","0,0095517623","0,0111674129","0,01277985","0,0091598634","0,0075327893","0,0095277037"
1985-02-07,"0,0067952381","0,0077395344","0,0089948905","0,0110807098","0,0066125902","0,0059380464","0,007227"
1985-02-08,"0,0064809524","0,0103589794","0,0123160945","0,0135607128","0,0059535246","0,0055574286","0,0066582778"
1985-02-09,"0,0061666667","0,020891712","0,0243520299","0,0228553872","0,0122937158","0,0154203","0,0086604506"
1985-02-10,"0,0035952381","0,0200661168","0,0228732189","0,0217391696","0,0234927896","0,024195075","0,0115695432"
1985-02-11,"0,0061666667","0,0183293216","0,0207185323","0,0202793338","0,0223164836","0,0196613643","0,0148220926"
1985-02-12,"0,0064809524","0,0247692091","0,0289854677","0,0263884845","0,0178840273","0,0146600071","0,0112764012"
1985-02-13,"0,0064809524","0,0457879413","0,0541938806","0,0455378991","0,0231961803","0,0218932464","0,0136337284"
1985-02-14,"0,0067952381","0,0551445635","0,065571791","0,05459112","0,0324747541","0,0287834071","0,0300765123"
1985-02-15,"0,0161666667","0,0869947614","0,0966655224","0,078199631","0,1163414208","0,0503046071","0,0254348889"
1985-02-16,"0,0183","0,1092460541","0,1250784577","0,0992536336","0,1027176776","0,0403179643","0,0232858642"
1985-02-17,"0,008452381","0,0644451996","0,0743283582","0,0608243671","0,0599920492","0,0328856821","0,0175167284"
1985-02-18,"0,0091666667","0,0493326817","0,0562040299","0,0478629103","0,0674283333","0,034803975","0,0401200309"
1985-02-19,"0,008452381","0,0455294573","0,0522103483","0,0447288837","0,049158224","0,0338429321","0,0325705247"
1985-02-20,"0,054","0,0663002246","0,0634451741","0,0569742703","0,0925883607","0,0633598929","0,0509630185"
1985-02-21,"0,0278095238","0,0732674633","0,0777132836","0,067882929","0,1133152186","0,0964793929","0,1086401852"
1985-02-22,"0,0156809524","0,0560993554","0,0613439801","0,0549048851","0,1067835792","0,0854710714","0,1218042593"
