Longitude,Latitude
219198.8770,6991606.3900
219331.6850,6992221.0000
218914.0740,6993227.7600
219730.9290,6994188.2200
222685.1800,6994411.9700
222565.6450,6995346.9800
220746.6180,6994957.1200
219989.6860,6995923.9500
220083.9210,6996378.5900
221028.4840,6996132.9400
221753.4780,6996523.3800
221926.5360,6997381.4400
221751.5580,6998213.0400
220552.9450,6999030.2500
220876.5590,6999481.2400
221377.9960,6999535.1500
221958.6060,6998671.3700
222893.3980,6998297.4500
224825.3870,6999203.2000
221952.7750,7001306.0400
221909.7770,7001983.0800
222505.7700,7003100.3200
224135.0440,7001882.0400
225194.2520,7002367.7700
224802.3160,7002733.7300
223888.4350,7002654.0900
222600.6030,7003908.3500
222058.8860,7005981.3800
223123.7490,7005788.9700
224399.9100,7003870.1800
225509.6650,7003079.0600
226421.5380,7003698.1900
225690.3330,7004177.5500
224684.0800,7004989.3300
223751.0200,7007623.8800
224555.2700,7007295.8600
225865.5210,7005565.4300
226262.1780,7006732.0300
227484.6350,7007174.4500
227307.0970,7008073.8500
226354.9070,7008638.0600
225943.9590,7009799.1200
227109.0920,7010001.9800
228102.2330,7009019.7300
228933.6410,7010090.1200
227777.8880,7011589.2400
229644.9620,7011396.2400
230353.0740,7011957.7100
230324.8040,7012359.4600
228394.0100,7013453.4300
229052.8750,7013738.3200
229410.0590,7015262.0900
230777.5200,7014563.9100
231539.6130,7015114.9200
231927.0360,7015931.2400
231004.8020,7017479.2300
231142.2730,7018126.5000
234027.7550,7016836.9500
234580.3800,7016735.1800
234827.5070,7017146.8800
233834.6400,7017594.3300
232223.0400,7018622.3000
233751.2880,7020070.0000
234553.6720,7020375.1400
233906.9310,7020934.4400
234612.6430,7022602.7800
232277.2130,7023276.5900
232675.3830,7024421.9000
233804.9720,7025224.2200
232345.4670,7025798.2200
232158.5290,7026428.4800
235400.3900,7025819.5100
235771.8860,7026147.5300
235645.0170,7026646.0100
234619.2270,7027111.1900
234001.5880,7028091.3900
232225.6800,7027692.0000
232284.6120,7028297.9600
232873.7380,7028801.7800
232103.6160,7029383.4200
231579.1320,7030783.2800
230600.2000,7031472.5800
230732.1520,7031762.0200
231190.7980,7031250.5700
231821.9750,7031310.4100
231590.1240,7033151.4300
230736.0750,7033125.2700
230028.8620,7034226.0000
230005.1010,7035142.6400
231570.2680,7036031.2400
231584.1490,7036417.8500
230155.0900,7036539.2500
230023.1660,7035857.7200
228624.1580,7035730.5200
227174.3750,7036898.4600
228471.1560,7036653.7500
229109.8690,7036894.8800
229747.0770,7037383.4000
230034.9530,7038450.4000
228981.5600,7039186.8600
228270.2250,7040463.3000
227851.7440,7039251.4800
226477.6700,7039369.2100
227224.7990,7040484.5900
225694.7250,7041671.3900
226020.2300,7042728.2000
226636.1450,7041723.6200
228051.2640,7042081.5100
228173.2040,7043859.7800
227196.5270,7045003.6800
227018.3690,7045940.3500
227646.3800,7045833.1100
228432.8420,7044776.6900
229727.5300,7045811.9300
229487.4780,7046184.5800
228285.8060,7046470.1500
228703.4490,7046844.6500
228658.3900,7047530.1300
229438.1130,7047563.5800
229213.8960,7049183.2600
228779.3510,7049655.7300
229019.7900,7048632.5700
228718.2240,7048514.4900
227929.0060,7049182.5800
227860.8170,7049907.4500
227015.0970,7049697.4300
225354.7160,7050338.0400
226175.5390,7051012.8500
227289.0670,7050095.0900
227135.3480,7051607.8500
227962.3500,7051635.3000
228294.2260,7053058.3000
227682.6680,7053960.7600
228278.9870,7054167.7900
228194.7340,7054708.7500
228347.6360,7055728.7200
227936.7840,7056434.8500
228711.6120,7056211.6200
228871.1490,7059139.9400
230199.7870,7059161.8500
230373.7530,7059459.2600
230089.1300,7059825.9800
229172.0270,7059706.1100
228089.3590,7058767.2200
227481.8560,7058673.9300
227464.6590,7059369.9800
228583.7290,7059490.3600
228602.6150,7060050.5500
228335.0530,7060493.6400
226912.4100,7060985.5200
228037.8370,7061689.5100
228682.3530,7061346.3200
229011.1660,7061913.3600
228568.3320,7062279.4600
229350.7190,7063149.2400
228349.2570,7063217.0900
227967.1060,7065696.1800
228387.9820,7065968.0200
229023.8290,7065272.5400
229585.9830,7065669.9900
230571.2640,7065177.4300
230113.0380,7066035.5800
230607.0470,7067152.0800
231379.9410,7067186.1300
