ID,Estação,Nome,Latitude,Longitude,,Estat,Longitude,Latitude
63,65094500,AVENCAL,7094093.091,637734.906,,E65094500,633856.53,7072902.95
96,65095000,RIO PRETO DO SUL,7099735.816,639543.627,,E65095000,655060.55,7095664.81
94,65135000,RIO DA VÁRZEA DOS LIMA,7130631.4,660965.373,,E65135000,676004.92,7135995.72
98,65180000,SALTO CANOINHAS,7082906.722,571567.214,,E65180000,569403.29,7056212.17
99,65925000,SALTO CLAUDELINO,7092917.569,370687.309,,E65925000,404939.71,7076105.19
104,70100000,DESPRAIADO,6861330.679,617385.772,,E70100000,632145.21,6871851.72
106,70200000,INVERNADA VELHA,6853960.346,568398.825,,E70200000,609125.41,6850992.16
105,70300000,FAZENDA MINEIRA,6892514.093,592283.22,,E70300000,612413.95,6892278.51
103,70500000,COXILHA RICA,6884836.139,554749.868,,E70500000,569316.75,6893749.93
113,71200000,VILA CANOAS,6923966.098,620301.033,,E71200000,638530.07,6904569.03
111,71250000,PONTE DO RIO JOÃO PAULO,6920945.652,635265.114,,E71250000,650837.97,6918244.77
112,71300000,RIO BONITO,6935287.251,614414.406,,E71300000,638616.62,6913656.47
107,71350001,ENCRUZILHADA II,6957050.54,587672.897,,E71350001,624616.17,6924909.45
110,71383000,PONTE ALTA DO SUL,6959647.399,560138.755,,E71383000,604430.55,6932696.81
109,71498000,PASSO MAROMBAS,6976600.885,524389.159,,E71498000,537875.91,7004617.37
108,71550000,PASSO CARU,6954032.186,514635.092,,E71550000,556249.12,6963858.84
117,72430000,PASSO DO GRANZOTTO,6916057.774,425753.138,,E72430000,441496.31,6890720.54
118,72630000,PASSO SANTA TEREZA,6935019.681,412764.225,,E72630000,398831.81,6898596.97
116,72680000,PASSO COLOMBELLI,6951070.685,415364.233,,E72680000,398312.56,6907858.27
119,72715000,RIO DAS ANTAS,7025142.201,492540.485,,E72715000,500690.07,7038468.56
120,72810000,TANGARÁ,7003827.819,474460.505,,E72810000,489353.25,7030419.02
115,72849000,JOAÇABA I,6995855.576,452377.232,,E72849000,479574.17,7020205.62
