Longitude,Latitude
219198.87710,6991606.39831
219331.68505,6992221.00387
218914.07465,6993227.76775
219730.92921,6994188.22316
222685.18004,6994411.97500
222565.64590,6995346.98703
220746.61854,6994957.12627
219989.68679,6995923.95664
220083.92168,6996378.59784
221028.48397,6996132.94272
221753.47886,6996523.38109
221926.53669,6997381.44844
221751.55874,6998213.04252
220552.94530,6999030.25468
220876.55930,6999481.24480
221377.99640,6999535.15951
221958.60674,6998671.37954
222893.39857,6998297.45379
224825.38771,6999203.20501
221952.77506,7001306.04352
221909.77743,7001983.08074
222505.77054,7003100.32919
224135.04423,7001882.04273
225194.25249,7002367.77578
224802.31695,7002733.73473
223888.43530,7002654.09639
222600.60344,7003908.35521
222058.88613,7005981.38538
223123.74897,7005788.97219
224399.91025,7003870.18057
225509.66496,7003079.06006
226421.53803,7003698.19531
225690.33303,7004177.55199
224684.08091,7004989.33706
223751.02039,7007623.88574
224555.27078,7007295.86621
225865.52162,7005565.43123
226262.17881,7006732.03137
227484.63517,7007174.45406
227307.09795,7008073.85985
226354.90772,7008638.05997
225943.95961,7009799.12919
227109.09266,7010001.98361
228102.23375,7009019.73333
228933.64176,7010090.12056
227777.88818,7011589.24067
229644.96212,7011396.24730
230353.07462,7011957.71754
230324.80478,7012359.46644
228394.01050,7013453.43878
229052.87501,7013738.32530
229410.05967,7015262.09006
230777.52021,7014563.91025
231539.61307,7015114.92645
231927.03691,7015931.24259
231004.80197,7017479.23471
231142.27375,7018126.50360
234027.75499,7016836.95372
234580.38029,7016735.18897
234827.50757,7017146.88160
233834.64043,7017594.33180
232223.04006,7018622.30024
233751.28888,7020070.00438
234553.67246,7020375.14783
233906.93134,7020934.44013
234612.64338,7022602.78860
232277.21330,7023276.59901
232675.38353,7024421.90264
233804.97246,7025224.22204
232345.46758,7025798.22027
232158.52911,7026428.48321
235400.39012,7025819.51723
235771.88651,7026147.53935
235645.01703,7026646.01250
234619.22724,7027111.19660
234001.58841,7028091.39830
232225.68049,7027692.00957
232284.61283,7028297.96039
232873.73833,7028801.78134
232103.61654,7029383.42213
231579.13276,7030783.28592
230600.20040,7031472.58374
230732.15265,7031762.02809
231190.79874,7031250.57317
231821.97592,7031310.41975
231590.12477,7033151.43217
230736.07495,7033125.27172
230028.86236,7034226.00902
230005.10116,7035142.64450
231570.26841,7036031.24100
231584.14946,7036417.85915
230155.09043,7036539.25390
230023.16652,7035857.72183
228624.15836,7035730.52644
227174.37519,7036898.46333
228471.15658,7036653.75708
229109.86932,7036894.88776
229747.07704,7037383.40143
230034.95362,7038450.40194
228981.56059,7039186.86865
228270.22536,7040463.30240
227851.74476,7039251.48620
226477.67011,7039369.21990
227224.79899,7040484.59459
225694.72514,7041671.39561
226020.23036,7042728.20148
226636.14586,7041723.62206
228051.26417,7042081.51657
228173.20426,7043859.78150
227196.52763,7045003.68864
227018.36960,7045940.35503
227646.38049,7045833.11028
228432.84263,7044776.69677
229727.53019,7045811.93925
229487.47863,7046184.58657
228285.80672,7046470.15437
228703.44971,7046844.65513
228658.39071,7047530.13578
229438.11369,7047563.58970
229213.89688,7049183.26334
228779.35121,7049655.73913
229019.79062,7048632.57914
228718.22461,7048514.49268
227929.00690,7049182.58215
227860.81768,7049907.45419
227015.09759,7049697.43147
225354.71676,7050338.04760
226175.53902,7051012.85558
227289.06790,7050095.09438
227135.34831,7051607.85337
227962.35051,7051635.30134
228294.22666,7053058.30414
227682.66797,7053960.76701
228278.98732,7054167.79492
228194.73472,7054708.75373
228347.63682,7055728.72122
227936.78454,7056434.85185
228711.61255,7056211.62547
228871.14977,7059139.94175
230199.78731,7059161.85922
230373.75334,7059459.26939
230089.13052,7059825.98372
229172.02704,7059706.11408
228089.35904,7058767.22495
227481.85686,7058673.93314
227464.65946,7059369.98363
228583.72991,7059490.36654
228602.61543,7060050.55168
228335.05330,7060493.64067
226912.41071,7060985.52600
228037.83777,7061689.51664
228682.35359,7061346.32219
229011.16618,7061913.36254
228568.33269,7062279.46596
229350.71897,7063149.24068
228349.25734,7063217.09042
227967.10645,7065696.18090
228387.98212,7065968.02984
229023.82956,7065272.54773
229585.98320,7065669.99145
230571.26421,7065177.43018
230113.03820,7066035.58994
230607.04748,7067152.08181
231379.94176,7067186.13074
230891.14338,7068446.67678
231314.60182,7068856.07469
230633.55008,7069045.83877
230184.15206,7068165.97225
229990.22471,7068962.25432
229362.25688,7069290.65197
230455.54768,7070171.91395
231089.32028,7069559.34362
231176.57039,7071047.51129
230605.20834,7071605.59657
230400.25021,7072545.54303
231140.82979,7072673.90547
231120.25182,7072130.71323
231951.53657,7072347.35237
231921.66877,7074027.32399
231445.43142,7073854.99689
230921.14631,7075438.07534
230181.75838,7075515.81552
230154.84732,7076162.97380
230617.05135,7076186.96782
