Estat	Longitude	Latitude	mu_ANO	sigma_ANO	mu_DJF	sigma_DJF	mu_MAM	sigma_MAM	mu_JJA	sigma_JJA	mu_SON	sigma_SON
E65094500	633856,53	7072902,95	-4,028505222	0,8433734947	-3,9024862728	0,7933449636	-4,2089627441	0,73158791	-4,1434436614	0,9542006544	-3,8548231176	0,8227181833
E65095000	655060,55	7095664,81	-4,1193273588	0,7594546516	-3,9544745425	0,6908570571	-4,2374632575	0,6957282927	-4,2606321534	0,8235644931	-4,0205031676	0,7717274291
E65135000	676004,92	7135995,72	-4,1300863139	0,7223123088	-3,9386165789	0,6641928199	-4,2277737953	0,702636911	-4,2740176327	0,7650365038	-4,0756731077	0,7041564835
E65180000	569403,29	7056212,17	-4,2687614376	0,9884118779	-4,2628320564	0,8933749975	-4,4973966836	0,9985328712	-4,299583129	1,0179095519	-4,0123327518	0,9769994985
E65925000	404939,71	7076105,19	-3,7496045468	0,8611136531	-3,9217127282	0,7419903182	-3,9404002573	0,9294365748	-3,6328590964	0,7930994966	-3,5040508403	0,8835837231
E70100000	632145,21	6871851,72	-3,9926632819	0,9649427658	-3,8263515867	0,8764398689	-4,2182798842	0,950938364	-4,0435270443	1,0050380043	-3,8739013462	0,971916366
E70200000	609125,41	6850992,16	-4,0387502686	0,9500655581	-4,0253997976	0,8888418845	-4,2783941861	0,931930163	-3,9478748616	0,992567012	-3,8969186826	0,9371723823
E70300000	612413,95	6892278,51	-4,2045218788	1,1036721506	-4,2625755001	1,0279732749	-4,5479001241	1,1601829111	-4,0276485068	1,0909717145	-3,9714211016	1,0317139058
E70500000	569316,75	6893749,93	-4,0117111199	1,0961193233	-4,2622683881	1,0333793272	-4,3537983234	1,127948359	-3,7201147327	1,0426496695	-3,7037369653	1,0066193774
E71200000	638530,07	6904569,03	-3,6523743839	0,746606764	-3,534296167	0,6499614241	-3,8096076669	0,7345247642	-3,7562185079	0,7835290774	-3,4990601228	0,7610109956
E71250000	650837,97	6918244,77	-4,0611435862	0,9283100808	-3,9758050658	0,9436131833	-4,2408623783	0,8712693279	-4,1324351022	0,9373594721	-3,8851592855	0,9192169724
E71300000	638616,62	6913656,47	-3,7859728562	0,7696173647	-3,7084437551	0,6822358348	-3,9812836175	0,7514593463	-3,8557093588	0,7953230024	-3,5873890845	0,7856567785
E71383000	604430,55	6932696,81	-3,8320063078	0,8267854521	-3,8143071092	0,727142615	-4,0282127022	0,8104377117	-3,8708183241	0,8722314431	-3,6041594878	0,8329176681
E71350001	624616,17	6924909,45	-4,0263329635	0,8794779844	-4,0285340218	0,7560030352	-4,2832762148	0,8734817143	-4,0331967452	0,9004248816	-3,7481982749	0,8965456145
E71498000	537875,91	7004617,37	-3,9500960362	0,7516604239	-4,0063329557	0,6661736265	-4,1666273302	0,7255250727	-3,9020224793	0,755266506	-3,7168890067	0,7832927102
E71550000	556249,12	6963858,84	-3,9902303452	0,8710338619	-4,0267655895	0,7405907638	-4,2549927197	0,8601583822	-3,9663688954	0,8903617187	-3,7012364588	0,8928487693
E72430000	441496,31	6890720,54	-4,1043669603	0,9834627359	-4,4372352448	0,8242861989	-4,534251021	1,0694824152	-3,7245501576	0,8422104825	-3,7144688318	0,8575979706
