Macro_Bacia;Código;Centroid,X;Centroid,Y;Prec_media;Área_Bacia;Param_ANO,mu;Param_ANO,sigma;Param_DJF,mu;Param_DJF,sigma;Param_MAM,mu;Param_MAM,sigma;Param_JJA,mu;Param_JJA,sigma;Param_SON,mu;Param_SON,sigma
Canoinhas;E65180000;569403,29;7056212,17;1663,4;772;-4,2687614376;0,9884118779;-4,2628320564;0,8933749975;-4,4973966836;0,9985328712;-4,299583129;1,0179095519;-4,0123327518;0,9769994985
Pelotas ;E70100000;632145,21;6871851,72;1573,31;533;-3,991328432;0,9483991075;-3,8263170751;0,8530184074;-4,2213143089;0,9568486574;-4,0511980313;0,9317756851;-3,8562110521;0,9921098939
Pelotas ;E70200000;609125,41;6850992,16;1672,03;2820;-4,0121158717;0,9308163069;-3,997435221;0,870831069;-4,2469667192;0,9349312932;-3,9243611923;0,9114972682;-3,8721308783;0,9588121791
Pelotas ;E70300000;612413,95;6892278,51;1617,89;1170;-4,1951114967;1,1211637942;-4,2793845157;1,0438454118;-4,5176670566;1,2086554732;-4,0180043489;1,0559385419;-3,9554591521;1,0744883232
Pelotas ;E70500000;569316,75;6893749,93;1597,9;550;-3,9812849795;1,0756710586;-4,254303272;1,0281767543;-4,2909967525;1,1252111478;-3,6972726671;0,9570877692;-3,6742247889;1,0198173774
Canoas;E71200000;638530,07;6904569,03;1598,56;1010;-3,6523743839;0,746606764;-3,534296167;0,6499614241;-3,8096076669;0,7345247642;-3,7562185079;0,7835290774;-3,4990601228;0,7610109956
Canoas;E71250000;650837,97;6918244,77;1602,01;489;-4,0611435862;0,9283100808;-3,9758050658;0,9436131833;-4,2408623783;0,8712693279;-4,1324351022;0,9373594721;-3,8851592855;0,9192169724
Canoas;E71300000;638616,62;6913656,47;1598,65;2000;-3,7859728562;0,7696173647;-3,7084437551;0,6822358348;-3,9812836175;0,7514593463;-3,8557093588;0,7953230024;-3,5873890845;0,7856567785
Canoas;E71350001;624616,17;6924909,45;1617,13;3230;-3,8320063078;0,8267854521;-3,8143071092;0,727142615;-4,0282127022;0,8104377117;-3,8708183241;0,8722314431;-3,6041594878;0,8329176681
Canoas;E71383000;604430,55;6932696,81;1634,26;4610;-4,0263329635;0,8794779844;-4,0285340218;0,7560030352;-4,2832762148;0,8734817143;-4,0331967452;0,9004248816;-3,7481982749;0,8965456145
Canoas;E71498000;537875,91;7004617,37;1662,32;3680;-3,9500960362;0,7516604239;-4,0063329557;0,6661736265;-4,1666273302;0,7255250727;-3,9020224793;0,755266506;-3,7168890067;0,7832927102
Canoas;E71550000;556249,12;6963858,84;1646,98;10000;-3,9902303452;0,8710338619;-4,0267655895;0,7405907638;-4,2549927197;0,8601583822;-3,9663688954;0,8903617187;-3,7012364588;0,8928487693
Peixe;E72430000;441496,31;6890720,54;1822,89;1620;-4,1043669603;0,9834627359;-4,4372352448;0,8242861989;-4,534251021;1,0694824152;-3,7245501576;0,8422104825;-3,7144688318;0,8575979706
Peixe;E72630000;398831,81;6898596,97;1875,49;2800;-4,0710967327;0,9184296747;-4,3537031002;0,7972099806;-4,4473827612;0,9877313592;-3,7570252892;0,7994672835;-3,719460926;0,8210334028
Peixe;E72680000;398312,56;6907858,27;1878,98;3660;-4,0129306428;0,9623908074;-4,3172526261;0,8478101638;-4,3404970624;1,0260517845;-3,7145543606;0,8559087711;-3,6738133991;0,8901577004
Peixe;E72715000;500690,07;7038468,56;1708,08;801;-4,2310528016;1,1011458256;-4,3130460628;1,041910557;-4,4368069374;1,0692633224;-4,1737423781;1,1165894746;-3,9926599966;1,125361192
Peixe;E72810000;489353,25;7030419,02;1720,6;2010;-4,1882552789;0,9838698598;-4,2128786747;0,9021560102;-4,409111877;0,9768588822;-4,169809908;0,9812749915;-3,9515947277;1,0178369812
Peixe;E72849000;479574,17;7020205,62;1738,4;3710;-4,2184371531;1,0353057851;-4,2715893398;0,9524568019;-4,4435170359;1,0259419386;-4,1704496304;1,020766598;-3,9793275792;1,0839147734
Peixe;E72870000;464429,57;6979438,59;1743,04;420;-4,3275824456;1,0988563392;-4,5761012848;1,0143811083;-4,6079838506;1,1509798827;-4,1031604316;1,0119534033;-4,017033172;1,0787638185
Itajaí-Açú;E83029900;581692,05;7019686,3;1645,43;648;-4,0897134139;0,9520300776;-3,9159556835;0,9458045397;-4,2085219183;0,8720106926;-4,2853065427;0,9132331509;-3,9441824788;1,0172184583
Itajaí-Açú;E83050000;585499,83;7008347,7;1641,52;1570;-4,093722821;1,1843974754;-3,9997246426;1,2964747411;-4,2415828402;1,1606654937;-4,259975971;1,0795237902;-3,8693813268;1,1463857995
Itajaí-Açú;E83069900;615702,5;6961262,21;1587,43;397;-7,4902214701;0,9535319549;-7,4192400178;0,9639866897;-7,6338332278;0,8837810639;-7,6165650707;0,8730607374;-7,2876960098;1,0413955364
Itajaí-Açú;E83105000;669790,36;6929669,93;1645,71;434;-4,3514278042;0,8768217146;-4,2282412479;0,8650805543;-4,5713874657;0,7880164922;-4,457572386;0,8583475506;-4,1439112803;0,9233425222
Itajaí-Açú;E83250000;650578,35;6945076,58;1561,61;1650;-4,1945294242;0,8737918921;-4,1049176583;0,8548150898;-4,4740971553;0,8166690117;-4,2315990876;0,886682289;-3,9632857054;0,8537469752
Itajaí-Açú;E83300200;620894,93;6978659,61;1585,5;5160;-4,0284803032;0,8172522604;-3,9386990815;0,8463938421;-4,2130494997;0,7502373745;-4,1089004955;0,8022585607;-3,8496202095;0,8182936803
Itajaí-Açú;E83345000;595278,92;7056644,94;1606,24;1430;-4,4998837266;1,0244971294;-4,4038125148;1,0035573062;-4,7303493228;0,9566670417;-4,5674988696;1,0272428986;-4,2938067909;1,0544827161
Itajaí-Açú;E83440000;611721,63;7038382,01;1558,47;3330;-4,3635337446;0,9102562776;-4,3000305817;0,888907068;-4,6105648343;0,8657301327;-4,3942295651;0,9020405671;-4,1457346754;0,9206394412
Itajaí-Açú;E83520000;621414,17;7002894,78;1572,21;9790;-4,2683694755;0,84601204;-4,1768123684;0,8562594259;-4,4660977991;0,777069039;-4,3442012944;0,835990414;-4,0826056932;0,8604917875
Itajaí-Açú;E83660000;645905,16;7043055,93;1633,3;717;-4,1666684933;0,9451398293;-3,9959734619;0,9452418765;-4,2785210687;0,8872991683;-4,4155811513;0,9752088767;-3,9712270112;0,8941441228
Itajaí-Açú;E83675000;661828,62;7055865,95;1765,06;536;-3,6289440629;0,6308963984;-3,462200423;0,6180497525;-3,6039901679;0,5326093513;-3,8450589179;0,6518523331;-3,6010518121;0,6528244271
Itajaí-Açú;E83677000;653520,73;7046085,33;1683,4;1600;-3,9508706194;0,7096088824;-3,7712951124;0,7106371039;-3,9832616409;0,6172733512;-4,1711462761;0,7149307151;-3,8735228732;0,7281601464
Itajaí-Açú;E83690000;621414,17;7003154,45;1572,77;9850;-3,9914825635;0,7890470124;-3,88115954;0,7900035086;-4,1513814224;0,7133783698;-4,0980073799;0,7899532454;-3,8315449232;0,8121666425
Itajaí-Açú;E83800002;626779,69;7012935,07;1598,64;11803;-3,9282531844;0,7596270955;-3,8101021587;0,7627581977;-4,0639386709;0,6922284677;-4,0521140091;0,7773693126;-3,7830319696;0,7580290798
Itajaí-Açú;E83880000;700685,34;7045479,45;1820,95;104;-3,2052986351;0,7945322583;-2,9867288584;0,736238375;-3,3521360234;0,9285883043;-3,3764160813;0,7727571483;-3,1006181687;0,6411024097
Itajaí-Açú;E83892990;660963,22;6965330,26;1498,89;286;-4,3061692668;1,0108046621;-4,1977553181;0,9474266758;-4,5649124735;1,0071208909;-4,3746952607;1,0230689537;-4,0828241286;0,9965631768
Itajaí-Açú;E83892998;667626,84;6977447,85;1530,62;827;-4,1977397796;0,6674963405;-4,0481464149;0,6472842888;-4,3192939322;0,6028011146;-4,3201835821;0,6745489745;-4,0994209807;0,6953184405
Itajaí-Açú;E83900000;677925,17;6983333,53;1571,12;1240;-4,0168610388;0,591772454;-3,907055956;0,5884944607;-4,1203702099;0,4878080852;-4,0912658327;0,6164477686;-3,9458920712;0,6355619127
Pelotas ;E86100000;579701,61;6803041,13;1672,43;1820;-4,0364094627;0,9827281419;-4,0795056597;0,9178422211;-4,316427399;0,9876065239;-3,9118465471;0,9564538707;-3,8286630697;0,9951618703
Pelotas ;E86160000;563085,82;6785903,4;1575,41;1120;-4,335847336;1,1415256965;-4,6707453857;1,1755847587;-4,6409409243;1,1390274124;-3,9563499931;0,9871264714;-4,0696111723;1,0667683668
