Longitude,Latitude
525809.2817,7039587.5177
525434.6932,7039088.0361
525583.5777,7038708.7577
525972.5595,7038262.0449
527048.2275,7037801.1169
527413.1892,7037397.9497
527475.6819,7037218.0452
527566.8722,7036955.9995
527835.8053,7036475.9452
528181.5569,7036322.0288
528661.7514,7036206.9650
529072.4041,7036172.7224
529852.6880,7036360.5086
530186.9185,7036515.3518
530283.1192,7036363.0461
530488.4978,7036157.9471
530823.6202,7036136.0407
531212.7546,7035995.5356
531493.8159,7035336.0571
531823.5306,7035076.7608
532185.6826,7035065.9955
532516.1233,7035206.5333
533056.6232,7035282.4527
533521.4394,7035228.4367
533975.4461,7035206.5333
534483.5570,7035076.9779
534840.2551,7034839.0228
535109.4862,7034548.9185
535200.2577,7034391.0576
535330.6907,7034123.0748
535611.7510,7034187.9995
536119.8117,7034199.0003
536638.6879,7033949.9993
537276.4996,7033766.4996
537360.7799,7033734.3828
537730.5002,7033593.5009
538044.0009,7033388.0005
538314.2499,7032890.9990
538658.4695,7032618.0016
538875.2513,7032850.4998
539217.3134,7032910.0014
539764.6885,7032611.0016
540055.4390,7032525.4996
540448.2853,7032447.2076
540688.3181,7032542.4663
540893.5687,7032730.5157
540962.0005,7033141.0219
540979.1187,7033551.5241
541095.1205,7033756.4869
541294.0131,7033731.5463
541971.0153,7033793.3232
542350.7196,7034067.2514
542437.7514,7034378.0006
542586.9390,7034415.4995
542910.1882,7034415.4995
543631.1886,7034825.4999
543991.7513,7034937.5009
544951.9070,7035147.5008
545431.1041,7035232.3218
545616.9950,7035284.0461
546052.1141,7035433.4098
546524.5037,7035333.9548
546860.1842,7035122.5080
546947.1894,7034960.9700
547090.1582,7034637.7269
547444.4899,7034500.9769
547717.9900,7034277.0526
548190.3766,7033941.4981
548998.4437,7033692.9538
549682.0558,7033740.3835
549826.8689,7033629.5416
549932.8027,7033593.7610
549954.1879,7033620.4987
550149.7279,7033570.9289
550164.2625,7033567.2435
550216.4999,7033553.9991
550371.6543,7033550.1191
550729.3764,7033406.0004
550959.0637,7033377.5014
551269.5948,7033235.0016
551924.3301,7032760.2506
552537.9386,7032386.9985
552935.4697,7032056.7524
553126.4375,7031951.6654
553485.3127,7031812.9994
553801.0620,7031856.0002
554676.6250,7032258.0011
555114.4373,7032530.5019
555595.2503,7032444.5012
555611.0527,7032444.5012
556044.3122,7032444.5012
556848.1246,7032516.0000
557723.6876,7032631.0013
558010.8121,7032688.5010
558168.6873,7032774.4996
558204.6880,7032922.0016
558476.0624,7032986.4993
558923.8115,7032928.4989
559284.8124,7032957.4986
561436.6245,7033274.9990
562057.6252,7033426.7497
562389.8129,7033578.5013
562656.9694,7033715.7511
562967.5004,7033708.4992
563648.9376,7033533.5017
563935.0627,7033520.5010
564397.1877,7033419.5008
564729.3764,7033462.9993
565317.6603,7033626.3047
565369.5628,7033095.5010
565258.7496,7032775.0013
565162.0625,7032652.5012
564965.6255,7032559.4985
564949.1248,7032337.0007
564966.0218,7032301.5283
564994.3753,7032241.9991
565240.9996,7032241.9991
565395.1249,7032322.4988
565676.7505,7032307.4992
565839.1866,7032197.5012
566329.6253,7032291.0005
566739.2498,7032038.4996
566867.3748,7031778.5008
566916.1561,7031731.0016
566964.9374,7031683.5003
567718.0003,7031536.4999
567930.3124,7031416.5004
568261.7504,7031397.0004
568482.8750,7031542.0009
568794.1885,7031582.4990
569370.0000,7031525.4991
569961.6867,7031843.9989
570389.6255,7031989.5012
570949.9378,7032052.4997
571323.8125,7032019.9989
571517.6875,7031527.5010
571517.7335,7031516.0568
571518.4995,7031324.9999
571437.3751,7031072.0002
571438.2711,7031055.6951
571456.1870,7030729.4988
571492.2032,7030692.2314
571526.2502,7030657.0007
571997.9373,7030464.4989
572209.8746,7030432.0012
572353.1875,7030112.0002
572855.9387,7029634.4998
573451.5002,7029617.5004
573626.2499,7029542.9993
573806.7504,7029273.0002
574098.3753,7029245.5006
574150.5318,7029280.4999
574202.6871,7029315.5013
574331.3753,7029540.9994
574500.1243,7029706.5003
575018.7926,7029725.9020
575021.6885,7029709.1003
574489.1245,7029348.5007
574335.6873,7029085.5006
574257.2500,7028770.5008
574212.5626,7028729.0012
574167.8752,7028687.5005
573856.9376,7028577.0007
573284.0004,7028536.5015
573043.8755,7028165.9998
573037.9056,7028103.5000
573031.9377,7028041.0012
572893.0004,7027898.5003
572282.3124,7027950.0003
571887.0002,7027742.0003
571341.5011,7027101.0009
571343.3412,7027075.1326
571359.9997,7026841.0002
571490.3129,7026658.4998
571877.1248,7026506.0006
572260.5626,7026581.5001
572451.4362,7026817.0007
572499.9687,7026828.2493
572548.5001,7026839.5010
573249.6247,7026595.0005
573359.5440,7026212.1403
573360.6202,7026203.5069
573339.9374,7025236.5007
573342.0479,7025228.8760
573483.2370,7024714.3570
573281.3749,7024313.0012
572821.1883,7024135.0013
572308.3752,7024032.0012
572294.4365,7023166.5011
572274.7184,7023117.5006
572255.0002,7023068.5002
572111.0002,7022948.5007
571932.8119,7022652.9999
571937.4507,7022641.1502
572161.9371,7022067.5002
572164.2359,7022051.3026
572249.1880,7021452.5002
572155.7501,7021146.9990
571804.8754,7021034.0006
571463.6254,7021011.0005
571062.3751,7021051.0010
571007.7498,7020998.5006
571009.0677,7020983.7294
571033.8751,7020705.5014
571248.7502,7020553.0012
571470.1872,7020030.5001
571596.7505,7019537.5014
571600.5004,7019235.0005
571597.1898,7019227.8653
571343.6249,7018681.5009
571030.3126,7018530.9995
570871.7503,7018308.4997
570863.0422,7018151.1293
570836.9998,7017680.5009
570702.0899,7017418.8649
570404.3752,7016841.4999
570292.9374,7016681.4999
569690.3124,7016601.0001
569668.0629,7016558.5011
569897.2873,7016221.8293
570013.9373,7016050.4998
570013.8216,7016037.2687
570010.5622,7015668.0010
569910.5625,7015142.5006
569914.6585,7015137.5413
570228.5626,7014757.5011
570269.0638,7014599.5000
569921.6247,7014271.5015
569687.5005,7014251.5008
569420.3757,7014381.4996
569255.8128,7014408.5004
568960.2495,7014180.4997
568417.7497,7014020.0000
568391.8128,7013965.0009
568365.8759,7013910.0008
568322.1869,7013614.5000
568220.6245,7013395.5013
568191.6249,7013369.9996
568147.3102,7013331.1715
568099.7495,7013289.4999
568061.1253,7013097.0001
568064.8291,7013089.6232
568173.8871,7012872.4206
568195.1874,7012830.0003
568306.7429,7012676.2519
568497.7497,7012412.9999
568499.3655,7012396.6210
568520.0299,7012187.1434
568524.1863,7012144.9996
568416.6878,7011965.3378
568353.0626,7011859.0005
568274.6815,7011799.2655
568240.8752,7011773.5006
567960.9781,7011640.0038
567698.8157,7011514.9662
567611.8750,7011473.5004
567542.9373,7011265.5004
567545.2136,7011249.1829
567566.3746,7011097.4999
567638.9977,7011035.2744
567827.8120,7010873.5009
567828.7705,7010857.0821
567839.0043,7010681.7405
567849.8741,7010495.5015
567836.2836,7010469.9005
567760.6878,7010327.5010
567489.4373,7010048.4999
567492.4633,7010032.4211
567533.1877,7009815.9997
567633.9371,7009700.9994
567326.1247,7009271.9997
566814.4688,7008626.4998
566056.1251,7007474.9995
566001.3134,7007328.9996
565763.7495,7006854.0008
565745.4998,7006469.9998
566001.3134,7005392.0002
566001.3134,7005118.0014
565873.3749,7004825.4998
565599.3125,7004478.5011
564996.2503,7003975.7498
564521.1880,7003564.5012
564320.1881,7003217.5014
564265.5484,7003099.1587
564100.8749,7002742.5005
564064.3130,7002194.0001
564155.6866,7001774.0013
565343.4375,6999532.0015
565882.5325,6998609.5014
566129.1875,6998161.4993
566220.5621,6997833.0012
566184.0616,6996973.9993
566074.3748,6996041.9996
566089.0948,6994812.7510
566339.3123,6994729.5009
566588.7515,6994566.2517
566974.9378,6994217.0022
567803.6261,6993233.0017
567936.9387,6992966.0008
568213.7515,6992043.5018
568398.3131,6991756.5002
568562.3764,6991623.0013
568755.3758,6991566.5000
569007.4600,6991546.3375
569011.6881,6991545.9985
569432.1589,6991566.0167
569442.3139,6991566.5000
569616.6253,6991495.0013
569729.3769,6991279.5015
569811.4382,6990869.5001
569801.1890,6990510.5021
569596.1259,6989372.5022
569606.3761,6989049.5009
569688.3749,6988803.5012
569790.9378,6988660.0010
569934.4381,6988567.5010
570088.9115,6988558.0833
570098.5013,6988557.4986
570404.3138,6988660.0010
570609.3134,6988793.0022
570834.8750,6989018.5023
571368.0626,6989757.0009
571480.8132,6989859.5012
571622.4928,6989899.9626
571624.3750,6989900.5002
571808.9387,6989890.0001
572106.2509,6989839.0018
572649.6570,6989634.0021
572680.4384,6989490.5018
572475.3763,6989152.0002
572424.0626,6988926.5000
572403.5632,6988690.4998
572444.5641,6988465.0017
572526.6265,6988250.0006
572731.6886,6987957.5011
572895.6884,6987834.5003
573112.1179,6987822.5983
573326.7074,6987689.8408
573398.1252,6987527.0013
573531.3763,6986655.4994
573643.3118,6986467.2258
573644.1873,6986465.7512
573972.2513,6986512.0002
574206.3131,6986839.9976
574430.9030,6987064.5567
574431.8461,6987065.5009
574657.4384,6987044.9994
574770.1388,6986874.9560
574782.1626,6986856.8138
574781.3751,6986877.4986
574880.4973,6987097.9627
574882.3129,6987102.0003
574934.2727,6987079.9608
575000.1876,6987052.0015
575222.2512,6986710.0008
575624.0002,6986463.4994
575865.0918,6986442.7962
575874.3753,6986441.9975
575939.2816,6986467.2504
576004.1878,6986492.5001
576357.0828,6986510.9854
576366.9367,6986511.5015
576427.1264,6986490.4993
576487.3120,6986469.5011
576764.4372,6986120.0007
577352.3811,6985929.3841
577353.5628,6985929.0011
577578.7496,6985937.5014
578381.0004,6986133.5011
578568.1251,6986236.5012
578712.4374,6986387.5002
578821.6880,6986553.0011
578934.3126,6987013.9998
579199.8563,6987047.7539
579246.2568,6987053.6511
579256.8747,6987055.0008
579398.5000,6986788.0010
579610.0625,6986533.5001
579686.1877,6986338.5008
579905.1875,6986091.4997
579908.3998,6986075.5058
580015.7498,6985541.0004
580228.6875,6985504.0012
580279.3837,6985401.8367
580282.8930,6985394.7650
580294.4376,6985371.4987
580512.5168,6985283.7460
580534.2266,6985275.0102
580565.3122,6985262.5010
580565.9337,6985259.9032
580688.1871,6984747.5007
580997.9901,6984015.1288
581106.1695,6983759.3919
581167.2491,6983615.0008
581211.1910,6983594.7757
581377.9995,6983518.0003
581682.5003,6983196.5012
581685.3552,6983195.3840
582076.2508,6983042.4987
582322.4378,6982857.9975
582634.6247,6982976.9986
582681.1286,6982951.7252
582727.6326,6982926.4519
582832.8117,6982890.0006
582997.9378,6982893.0009
583165.0004,6983001.5009
583475.5622,6982970.0006
583729.1250,6982818.4998
584059.5002,6982804.5007
584678.6249,6983082.0006
585169.3749,6983033.9985
585673.7502,6982775.5000
586008.9996,6982791.4989
586133.2497,6982952.0007
586328.6873,6982910.4990
586957.2379,6982461.9501
586972.0880,6982446.9762
586986.9370,6982432.0012
587085.6875,6982219.5007
587445.0623,6981930.5003
588041.8762,6981232.0002
588227.3123,6981189.9988
588412.4996,6981190.5005
588399.4477,6981174.2066
588255.8747,6980995.0005
588264.7467,6980947.4695
588276.5002,6980884.4996
588527.3126,6980775.5010
588757.6245,6980763.9994
588971.3128,6980584.5014
588970.5694,6980570.4757
588955.3753,6980284.0015
588999.4677,6980237.6214
589040.9377,6980194.0011
589300.9999,6980237.4996
589487.7508,6980403.4992
589640.4364,6980404.0009
589773.4376,6980336.9986
590073.4379,6980392.9991
590146.6877,6980258.0000
590140.9072,6980217.9616
590132.2503,6980157.9983
590045.0628,6980075.0010
590028.6717,6979899.1976
590306.7501,6979815.5010
590308.2954,6979788.7971
590309.4996,6979768.0007
590681.9376,6979842.0011
591168.5004,6979646.0013
591601.4998,6979627.5007
591781.6778,6979655.6259
591780.2820,6979627.4434
591436.6881,6978965.9988
591338.3748,6978681.0001
591328.5639,6978455.0013
591397.3747,6978151.5010
591456.3130,6978014.0013
591662.7197,6977812.2498
591918.1882,6977552.0012
592448.9377,6976510.0013
592743.7514,6975813.5001
593097.5638,6975106.0011
593579.1254,6974025.0022
593732.0639,6973580.5022
593785.5014,6973425.4993
594031.1887,6973238.5005
594591.3750,6972973.5006
594946.1255,6972847.0007
595701.1084,6972636.4510
595704.3125,6972405.5011
595518.4371,6972076.5012
595491.3758,6971829.6557
595615.5624,6971694.0013
595971.0000,6971673.0001
596163.4997,6971716.0009
596179.8735,6971691.0000
596196.2503,6971666.0011
596441.5628,6971661.9982
596701.1888,6971770.5003
596963.4997,6971398.5005
597021.2492,6971360.0012
597078.9987,6971321.5008
597198.8303,6971302.5323
597296.9387,6971287.0013
597295.2982,6971271.3126
597275.5002,6971082.0006
597305.3928,6971070.2604
597358.2497,6971049.4998
597418.8735,6970942.0013
597419.3220,6970927.0417
597425.0001,6970737.0006
597688.4999,6970597.5011
597690.5735,6970581.2707
597719.8128,6970352.4999
597588.3128,6970143.9991
597288.2511,6970100.5006
597110.0648,6970234.5832
597076.0957,6970253.5405
597042.1255,6970272.5009
596947.6871,6970139.5007
596951.2916,6970125.6419
597049.9376,6969746.5008
597138.0620,6969644.5001
597137.1517,6969631.5127
597100.0460,6969080.4441
597369.3754,6968979.5012
597477.5620,6968869.5011
597581.4376,6968632.0007
597725.2513,6968410.0005
597766.5942,6968403.7501
597832.4374,6967915.0000
597891.1864,6967288.0007
597901.0004,6966700.4991
597979.3753,6966067.9999
597998.9378,6965656.5014
598096.8752,6965470.5000
598253.6250,6965323.4997
598667.5002,6965069.5006
598832.4380,6965068.0004
599005.2502,6965182.0003
599255.9992,6965420.9998
599578.4373,6965415.0013
599972.5626,6965516.5001
600268.3747,6965510.5005
600465.4374,6965725.4975
600635.5934,6966041.9985
600758.0003,6966281.0011
601002.8121,6966376.5014
601390.9378,6966448.0012
601498.4373,6966328.4994
601510.3751,6966041.9985
601590.9680,6965581.9993
602035.8120,6965588.0009
602256.7503,6965516.5001
602406.0310,6965516.5001
602901.6255,6965624.0007
603080.7498,6965868.7510
603242.0001,6966071.9976
603437.6875,6966053.9998
603806.5005,6966066.0011
604116.9999,6965919.5015
604797.7500,6965173.5011
605030.6260,6965018.0005
605263.5000,6965083.4997
605575.0622,6965162.0005
605873.0319,6965460.0009
606342.8124,6965662.2512
606751.5000,6965406.5010
606996.0005,6964925.0009
607332.1254,6964649.9995
607595.6252,6964053.5011
607908.8125,6963969.0006
608176.1871,6963640.5004
608290.8136,6962166.5005
609054.8129,6961515.5007
609215.1252,6961379.0005
609238.0628,6960684.0004
609169.3114,6960041.9985
609031.8128,6959514.4992
609115.8126,6958857.5008
609123.4373,6958659.0015
608784.7902,6958114.0011
608433.3125,6957943.0012
608312.0627,6957852.0004
608225.1261,6957694.5010
608042.9370,6957070.5010
607938.3129,6956872.5004
607758.1247,6956628.5006
607798.8124,6956309.5011
607874.3754,6956001.5003
607845.3122,6955548.0014
607694.2497,6955257.5008
607470.4688,6955196.5011
607525.6880,6954949.5011
607700.0629,6954822.0008
607810.4378,6954537.5008
607775.5624,6954374.9982
607662.2814,6954101.7499
607630.3121,6953903.9991
607798.8124,6953945.0001
608013.8759,6953921.5003
608246.3126,6953747.0015
608438.1253,6953677.4975
608746.1250,6953694.9997
608949.5006,6953491.5012
609065.7502,6953247.4994
609083.1879,6952997.4990
609176.1876,6952851.9999
609529.9386,6952690.5008
609849.5628,6952347.7495
610145.9371,6951947.0010
610215.6879,6951603.9989
610405.4689,6951178.7511
610514.9683,6951023.2516
610669.0004,6950767.4994
610654.4688,6950445.0019
610570.1875,6950116.4996
610349.3117,6949913.4977
610137.2198,6949736.2515
610198.2502,6949577.0001
610363.8750,6949428.4996
610500.4377,6949181.5006
610424.8747,6948862.0013
610331.5320,6948615.2511
610552.0002,6948490.5013
610762.8131,6948463.5004
611086.6265,6948496.4988
611801.5004,6948630.0008
612114.5628,6948792.0007
612556.1873,6948897.0006
612875.8740,6948897.0006
613090.8751,6949083.0010
613544.1876,6949309.4985
613735.9377,6949350.0008
613939.3748,6949356.0004
614311.3745,6949287.5009
614386.8751,6949042.0010
614657.0001,6948322.4987
615048.8747,6947954.5008
615450.9370,6947833.0011
616050.5628,6947580.0014
616266.7496,6947407.4994
616749.8124,6947221.9987
617315.6871,6947259.0010
617467.9406,6947228.9435
617609.7513,6947245.2507
617760.8752,6947248.9996
617945.1870,6947154.4987
618082.3754,6947051.7495
618708.1254,6947433.0011
618896.7503,6947617.5013
619141.0624,6948007.4999
619299.6247,6948162.0000
619675.1255,6948183.0012
619936.5629,6948119.0002
620146.5617,6948016.0001
620313.7502,6947832.0007
620570.9063,6947748.2508
621083.5627,6947776.0012
621422.1882,6947827.5012
621589.3122,6947930.5013
621913.3754,6948067.5002
622012.6246,6948156.5011
621990.3751,6948592.5009
621982.5497,6948626.0451
621979.8996,6948637.4002
621990.6997,6948656.6012
621945.1778,6948846.3218
622245.0603,6948752.5654
622511.8174,6948838.9490
622628.9999,6948981.0014
622848.6243,6949106.5008
623030.5625,6949159.5009
623220.2258,6949145.8244
623381.5610,6949219.3025
623779.1383,6949294.1191
624104.2470,6949496.9714
624326.0679,6949703.4856
624750.6173,6949871.8783
624934.1888,6950135.5388
625084.8755,6949490.5008
625032.8430,6949271.2501
624802.9376,6948956.5001
624603.4378,6948761.5008
624512.3120,6948604.0004
624273.7507,6947830.0008
624304.1246,6947587.5012
624414.9378,6947210.0005
624491.6252,6947145.9985
624524.8755,6947118.2491
624987.6252,6947024.0012
625421.9374,6946732.9998
625760.7503,6946823.5009
626085.3122,6946857.0011
626295.2496,6946761.5008
626447.9997,6946637.4995
626548.1879,6946508.4991
626714.4998,6946539.0000
626938.7804,6946562.7506
627329.3739,6947015.0002
627567.9997,6947611.4986
627725.5001,6947688.0007
627897.3130,6947740.5001
628126.3746,6947893.0014
628255.2501,6948131.5012
628407.0622,6948300.2339
628913.8153,6948470.5189
629233.5654,6948484.9717
629400.6197,6948408.5086
629555.7168,6948325.0044
629775.2481,6948413.4514
630301.8206,6948379.9738
630936.5644,6948566.0049
631126.7438,6948595.4469
631751.8825,6948385.4512
632295.9419,6948246.9767
632510.7177,6948139.5079
633015.8210,6948079.9684
633190.6270,6948089.2346
633332.8115,6948044.4858
633559.0602,6947859.2565
633734.7499,6947571.7418
633715.1280,6947233.6600
633552.7984,6946899.4152
633619.6277,6946612.9205
633590.9906,6946450.4977
633719.8896,6946388.4607
633882.2489,6946362.0804
633987.3042,6945963.4792
633939.5550,6945805.9460
633781.9881,6945528.9755
633710.3634,6945342.5543
633681.6965,6945137.3969
633275.7061,6944743.8174
633060.9999,6944711.9996
633110.3557,6944490.3395
633127.8169,6944229.9752
633333.1320,6944206.0382
633524.1295,6944277.6004
633767.6388,6944435.3834
634197.3819,6944822.0161
634593.6934,6944826.9027
634736.9428,6944845.9521
635243.0722,6944669.1166
635435.7470,6944595.2370
635621.2498,6944619.0512
635744.9080,6944442.0579
635762.8772,6944442.6559
635782.2994,6944443.3010
635778.2832,6944413.2190
635773.2503,6944375.5009
636102.3117,6944259.0015
636079.9997,6944151.5009
636090.6872,6944081.5013
636152.5624,6943990.1759
636160.8128,6943977.9985
636154.8111,6943908.4996
636107.3753,6943835.0010
636077.9988,6943814.5015
636051.3124,6943804.5001
635998.6409,6943793.4030
635913.6888,6943775.5015
635851.2811,6943736.5014
635828.2503,6943700.4996
635774.1248,6943537.0006
635781.8805,6943456.6985
635792.1871,6943350.0008
635767.8118,6943290.9999
635743.4375,6943232.0012
635677.3127,6943155.0015
635642.1394,6943119.2055
635430.1877,6942903.4999
635373.3752,6942721.5013
635345.9996,6942695.5009
635287.4084,6942685.9603
635278.4371,6942684.5011
635276.5888,6942673.6508
635264.1246,6942600.5014
635206.0628,6942541.5006
635148.0911,6942522.2217
635112.8440,6942510.4990
635053.7500,6942382.9987
634820.9866,6942084.4494
634810.3114,6942071.9986
634799.0628,6942059.9994
634659.6871,6941954.0010
634627.5940,6941946.2494
634595.4987,6941938.5007
634513.4999,6941628.0004
634339.0625,6941458.0010
634198.3751,6941119.5004
634376.2501,6940697.5008
634384.9049,6939787.0133
634412.9154,6939786.1316
634587.3774,6939591.9996
635061.2795,6939390.9208
635262.3111,6939402.5013
635273.0990,6939408.8869
635273.1481,6939407.9192
635273.4727,6939401.5315
635290.3124,6939402.5013
635301.1013,6939408.8869
635301.1504,6939407.9192
635304.8778,6939334.5005
635202.8772,6939147.4997
634982.2318,6938950.8323
635057.5019,6938765.5006
635092.1899,6938574.5010
635378.6898,6937782.9992
635504.5639,6937604.9993
635639.1278,6937483.5007
635725.9394,6937349.0003
635743.3147,6937131.9983
635817.0631,6936864.9996
635942.9394,6936694.5005
636025.4400,6936524.9998
636029.7531,6936138.7491
636194.6898,6936030.5000
636504.5470,6935982.1426
637035.1255,6936011.5007
637040.5711,6936010.2524
637063.1278,6936011.5007
637479.8159,6935916.0014
637709.8780,6935735.7498
638209.0647,6935677.0008
638382.6890,6935568.5009
638495.5010,6935447.0002
638582.3147,6935247.5004
638656.1277,6934869.4990
638721.7303,6934703.6776
638884.2186,6934748.2492
639218.5618,6934773.9987
639611.4061,6934860.9978
639774.1872,6934869.4990
639995.5627,6934705.0006
640221.5943,6934731.2488
640269.3127,6934547.0005
640599.1872,6934464.5009
640772.8125,6934247.5009
