Longitude,Latitude
741862.95036,6919143.23792
740371.15164,6918188.08723
740258.84519,6918703.85414
739316.26585,6918549.42339
739763.38750,6920165.21969
740446.84129,6921240.29606
739704.48069,6922505.53375
740430.11254,6923433.36882
739408.22674,6924100.75998
739011.40998,6924986.52576
739123.25933,6926215.76517
738379.27042,6926818.91180
739483.54609,6927112.86923
740499.65803,6927946.33737
740662.63789,6928965.19472
740158.65648,6931684.59332
741533.46974,6933752.74366
740723.26618,6934227.53039
740216.35555,6934088.62750
739937.46648,6934761.09128
739513.09919,6935018.95407
739939.79499,6935910.77805
739497.76966,6936598.05359
740009.37787,6936798.15813
741306.63351,6939182.28139
742464.64305,6939670.26603
744268.97767,6939034.51918
743939.81044,6943020.83296
743217.37809,6943553.90671
742257.80789,6942822.34910
741744.35090,6943271.13264
741847.58945,6944098.37138
740701.28349,6944829.42106
740413.04529,6945427.67443
740590.01313,6945836.16002
742302.85808,6946514.24531
742513.23199,6947322.63081
743177.44529,6947865.34876
745090.83582,6947483.69647
745167.36739,6948125.62635
744484.54951,6948861.06528
745045.45601,6949015.12038
746049.36503,6950361.83334
744674.77124,6950741.26132
743864.90061,6951360.98636
744454.31577,6952223.53701
744208.74332,6952936.60546
745129.20769,6953481.15442
745426.47754,6954100.58008
744639.10754,6955202.73180
744496.95080,6956261.34565
743766.86563,6956797.75732
743099.48309,6956755.64225
743175.95426,6958140.46445
743726.98678,6958936.35149
744261.64168,6959042.99084
744379.80193,6959703.98376
744674.74544,6959523.91369
745223.14404,6959493.00578
744745.99781,6961026.15050
743187.76255,6961086.28915
742350.71060,6960320.23379
743075.37246,6961380.81067
744486.11899,6961840.28557
745172.78480,6963523.65872
747200.47351,6962640.20810
748736.44188,6962471.65012
749437.23047,6963445.45245
752216.16291,6963665.53771
754224.64648,6964722.33446
754420.95665,6966166.65521
754101.38748,6966549.20071
754123.68739,6965503.92810
753618.23273,6967369.22607
754001.68974,6967955.71387
754806.40102,6967692.83622
755221.04429,6968076.20039
755506.05462,6968613.37877
756067.79312,6968272.30180
755995.70887,6966060.76530
756594.19453,6965843.19457
757136.36660,6963780.93846
758040.43041,6962383.53524
759796.95741,6961514.31752
760429.26668,6962725.76287
761076.43627,6961847.02784
760952.33548,6961083.11133
759890.88261,6960760.22686
759379.34999,6959125.16147
759302.09091,6957393.46085
757779.10680,6956531.25230
755203.46957,6952803.07687
754226.92009,6950854.75166
753848.48811,6948238.19246
753961.49111,6947801.15894
754365.48343,6947109.01247
754465.34228,6947426.85569
755386.26645,6947374.14813
754719.35441,6946233.42916
754715.69163,6945154.80794
753956.50352,6945022.39309
753109.19506,6943610.10171
753412.39303,6942534.87668
752680.38583,6942448.86598
752113.47153,6941674.80420
752012.45094,6941134.56600
751647.99881,6941105.84929
750028.62858,6939119.97049
749032.19783,6937240.99211
748390.85306,6934451.90877
746384.47649,6931887.61933
746263.66566,6931389.76957
745766.34669,6929340.99347
745764.56720,6928521.89493
746234.24416,6927975.80846
746571.34447,6928253.87984
746399.22037,6927755.87425
746826.98708,6927209.19431
747549.37284,6927404.84841
747793.01495,6926898.47940
748639.27563,6926596.05552
748778.86241,6925730.01915
748068.02486,6925765.76198
747763.70947,6925415.20761
747546.08028,6924793.65400
747959.76435,6924172.08419
747449.56524,6923501.97495
746393.49023,6923048.22956
745613.59424,6923476.00118
745648.54208,6924348.85399
744749.02598,6924558.86467
743712.77973,6923991.45455
743105.86108,6923143.11433
742278.45327,6920210.09508
741862.95036,6919143.23792
