Cdigo,1,2,3,4,5,6,7,8,9,10,11,12,ANUAL,DJF,MAM,JJA,SON,Latitude,Longitude,Cota
2548049,"304,379311","275,962068","254,842857","132,846427","110,989285","83,224138","100,448275","74,144828","154,113792","154,320689","163,741379","221,172413","2030,185462","801,513792","498,678569","257,817241","472,17586","7166834,23","738562,78",14
2548052,"305,673335","267,193333","218,03","137,456666","126,416667","112,66","115,879999","93,36","190,073333","180,983333","158,083334","222,176667","2127,986667","795,043335","481,903333","399,313332","529,14","7143396,55","708158,352",299
2549000,"163,47","155,156666","116,163334","86,143333","125,536666","108,703334","116,45","88,100001","140,833333","145,996667","122,703333","153,393332","1522,650001","472,019998","327,843333","345,383333","409,533333","7131123,04","621836,62",803
2549003,"187,036666","160,236669","122,583333","84,373333","103,136666","105,586668","110,253334","90,576667","144,426668","135,6","115,929999","163,579999","1523,320001","510,853334","310,093332","345,256669","395,956667","7128843,58","661875,271",867
2549059,"166,086668","157,053332","120,033334","82,876666","108,153333","106,399999","108,556667","80,503334","136,773332","145,203334","117,640001","145,646666","1474,926668","468,786666","311,063333","325,833333","399,616667","7145979,11","612003,164",827
2549061,"180,066667","162,383332","127,123333","88,570001","106,936667","103,943333","112,083334","88,84","141,139999","147,113332","120,123333","152,656667","1530,979997","495,106666","322,630001","342,063333","408,376664","7140059,28","650318,572",837
2549062,"149,169999","146,229999","116,67","79,996666","88,829999","76,74","102,416666","74,693333","130,003333","123,953333","110,646666","132,483333","1331,833328","427,883331","285,496665","307,113332","364,603332","7148000,58","668018,161",900
2549076,"185,048001","154,163999","119,216","89,4","111,842307","114,603846","114,8","86,861537","134,9","144,826923","116,453846","143,46923","1515,585689","482,68123","320,458307","336,561537","396,180769","7125488,11","631795,871",804
2550001,"179,816666","156,556667","108,533333","95,353333","120,313332","110,853334","117,463332","89,07","145,946666","166,156667","135,336667","157,793333","1583,193331","494,166666","324,199998","352,479999","447,44","7137945,03","561168,834",765
2550005,"178,273332","153,709999","132,93","108,273333","125,476666","111,786666","113,643333","86,23","143,173333","174,256666","140,033333","156,933331","1624,719992","488,916662","366,679999","343,046666","457,463332","7129557,64","532122,13",790
2550032,"174,98","136,16","125,413334","83,143333","111,663334","105,586667","108,36","85,273334","141,806665","151,790001","126,936667","152,923332","1504,036668","464,063332","320,220001","335,44","420,533333","7143922,66","586868,592",792
2648019,"214,917241","185,524138","175,141379","109,448276","107,81","95,203333","112,763334","89,568966","137,59","149,244827","139,286206","161,444828","1677,942528","561,886207","392,399655","339,9223","426,121033","7038621,34","728780,945",5
2648028,"231,407407","211,382141","185,710713","107,085186","93,181482","91,074074","114,335714","91,055555","146,658621","163,068966","146,017859","185,251723","1766,229441","628,041271","385,977381","352,049891","455,745446","7072829,07","716342,765",7
2649002,"265,359998","222,473335","176,866666","113,036667","118,073332","98,909999","129,393332","109,946666","160,32","187,53","151,483334","191,390001","1924,783332","679,223334","407,976665","399,659999","499,333334","7041535,83","681978,825",61
2649003,"207,118519","173,546427","159,485184","90,132142","110,914814","95,237037","123,367858","96,215384","142,336001","175,230768","141,307408","146,35","1661,241541","527,014946","360,53214","361,919242","458,874177","7036752,61","662544,197",139
2649004,"226,379999","189,43","151,213334","103,433334","113,043333","94,823333","115,16","99,836666","148,970001","164,853332","135,716667","172,673333","1715,533333","588,483332","367,690001","363,966668","449,54","7031244,76","671723,677",67
2649006,"170,376669","153,823333","119,446667","93,46","127,523332","110,486667","120,943334","96,17","146,213332","153,376667","123,19","162,350001","1577,360002","486,550003","340,429999","363,326666","422,779999","7112678,54","619997,872",799
2649007,"219,520689","197,985186","163,561537","101,796297","106,648148","99,550001","117,076922","90,648149","150,537037","144,622222","115,439286","163,751851","1671,137326","581,257726","372,005982","358,262109","410,598545","7021161,4","692115,842",17
2649008,"226,346666","196,883332","145,863334","96,833333","118,086666","94,719999","120,44","102,973334","160,260001","173,346666","136,433333","169,250001","1741,436667","592,479999","360,783333","383,673335","470,04","7041090,56","671995,716",76
2649009,"239,523334","196,926667","149,017242","108,931035","115,02069","99,765518","125,233334","105,596551","166,186207","175,873332","136,489655","170,906896","1789,47046","607,356897","372,968967","397,016091","478,549194","7015604,3","691148,119",53
